Player,Comp,Age,Min,Gls,Ast,Pos,Tkl,Int,Clr,Blocks,Succ,Carries,KP,xG,xAG,Club
Leonardo Balerdi,fr Ligue 1,25.0,2273,0,0,DF,54,38,72,12,22,1752,8,0.9,0.7,
Iván Balliu,es La Liga,32.0,1200,0,0,DF,17,13,39,20,3,326,7,0.0,0.5,
Fodé Ballo-Touré,fr Ligue 1,27.0,589,0,0,"DF,MF",8,4,27,11,5,163,1,0.0,0.1,
Botond Balogh,it Serie A,22.0,2053,0,1,DF,36,25,141,8,0,621,2,0.4,0.1,
Folarin Balogun,fr Ligue 1,23.0,615,4,0,FW,1,1,0,6,4,143,6,4.8,0.9,
Mario Balotelli,it Serie A,33.0,62,0,0,"FW,MF",0,0,1,1,0,10,0,0.0,0.0,
Abdoulaye Bamba,fr Ligue 1,34.0,1510,0,0,DF,22,19,79,4,2,408,6,0.1,0.3,
Jonathan Bamba,es La Liga,28.0,811,0,1,"FW,MF",12,5,6,12,15,307,12,0.8,1.8,
Mohamed Bamba,fr Ligue 1,19.0,10,0,0,MF,0,0,1,1,0,14,0,0.0,0.0,
Samuel Bamba,de Bundesliga,20.0,27,0,0,"FW,MF",1,0,0,1,1,20,1,0.1,0.0,
Lameck Banda,it Serie A,23.0,610,0,1,"FW,MF",8,2,8,3,10,169,11,1.2,1.1,
Daniel Bandeira,it Serie A,24.0,407,0,0,MF,4,6,8,1,1,148,3,0.0,0.1,
Mattia Bani,it Serie A,30.0,1507,0,0,DF,19,22,85,5,2,558,2,1.2,0.2,
Noahkai Banks,de Bundesliga,17.0,278,0,0,DF,11,5,28,0,0,123,0,0.1,0.0,
Scott Banks,de Bundesliga,22.0,116,0,0,"FW,MF",1,2,2,0,2,24,0,0.3,0.0,
Adrian Baquerin,es La Liga,17.0,49,0,0,FW,1,0,1,0,0,10,0,0.4,0.0,
Antonín Barák,it Serie A,29.0,54,0,0,MF,2,0,0,0,0,20,3,0.1,0.3,
Federico Barba,it Serie A,30.0,431,0,0,DF,2,4,15,0,0,201,0,0.2,0.0,
Valentín Barco,es La Liga,20.0,288,0,0,"DF,FW",15,2,5,5,3,124,6,0.3,0.6,
Valentín Barco,fr Ligue 1,20.0,1157,0,2,"MF,DF",36,13,28,16,9,513,8,0.5,1.5,
Bradley Barcola,fr Ligue 1,21.0,2181,14,10,FW,27,19,12,22,34,855,50,13.4,10.1,
Melvin Bard,fr Ligue 1,23.0,1938,2,1,"DF,MF",53,29,60,29,22,778,15,2.2,1.9,
Nicolò Barella,it Serie A,27.0,2456,3,6,MF,50,12,16,28,23,1393,55,2.2,4.5,
Gabriel Bares,fr Ligue 1,23.0,56,0,0,"MF,DF",2,1,3,0,1,27,0,0.0,0.0,
Borna Barišić,es La Liga,31.0,9,0,0,DF,0,0,0,0,0,2,0,0.0,0.0,
Téo Barisic,fr Ligue 1,19.0,2,0,0,DF,0,0,1,0,0,1,0,0.0,0.0,
Kike Barja,es La Liga,27.0,315,0,1,"FW,MF",5,3,4,8,7,102,10,0.2,1.2,
Ross Barkley,eng Premier League,30.0,581,3,1,MF,14,10,5,9,12,277,9,1.8,0.6,
Aymen Barkok,de Bundesliga,26.0,73,0,0,MF,2,2,0,2,0,22,1,0.0,0.1,
Harvey Barnes,eng Premier League,26.0,1755,9,4,FW,16,6,15,17,24,561,26,7.2,4.0,
Enzo Barrenechea,es La Liga,23.0,2191,1,2,MF,57,28,48,11,11,762,15,1.3,0.9,
Ander Barrenetxea,es La Liga,22.0,1263,1,3,"MF,FW",26,11,16,27,26,470,16,1.6,1.9,
Pablo Barrios,es La Liga,21.0,2330,1,4,MF,46,34,33,28,25,1119,26,1.3,2.4,
